---
# IPCG 3YP data file
# taes1g09@ecs.soton.ac.uk
---
q1: 4/4
q2: 4/4
---
---
d: 444
d: 444
d: 444
0: 666
d: 444
1: 666
d: 444
1: 404
1: 458
d: 444
1: 437
d: 444
1: 497
d: 444
1: 422
d: 444
1: 449
1: 437
d: 444
d: 444
1: 428
d: 444
d: 444
1: 428
0: 463
1: 463
d: 444
1: 428
d: 444
d: 444
1: 463
d: 444
1: 428
1: 428
d: 444
1: 428
d: 444
1: 449
d: 444
1: 476
d: 444
1: 428
d: 444
1: 428
d: 444
d: 444
1: 428
d: 444
d: 444
1: 463
d: 444
1: 463
1: 458
1: 449
d: 444
g: 12864
1: 428
1: 369
t: 34080
---
q3: 3/6
---
d: 222
d: 222
d: 222
1: 666
d: 222
0: 247
0: 247
1: 247
d: 222
0: 267
1: 267
d: 222
1: 232
d: 222
d: 222
1: 232
1: 214
d: 222
1: 202
d: 222
1: 202
d: 222
d: 222
1: 258
d: 222
0: 169
1: 169
1: 258
d: 222
1: 196
d: 222
0: 219
1: 219
d: 222
1: 178
d: 222
1: 219
d: 222
1: 178
d: 222
0: 219
0: 219
0: 219
0: 219
1: 219
d: 222
1: 202
d: 222
1: 219
d: 222
d: 222
1: 219
d: 222
1: 267
d: 222
1: 232
d: 222
1: 202
0: 219
d: 222
1: 219
d: 222
g: 12608
1: 219
0: 202
1: 202
1: 219
1: 247
t: 47913
---
q4: 3/6
---
d: 123
d: 123
d: 123
1: 666
d: 123
0: 23
0: 23
0: 23
0: 23
0: 23
0: 23
0: 23
0: 23
d: 211
0: 23
0: 23
0: 23
0: 23
0: 23
0: 23
0: 23
0: 23
1: 23
d: 229
1: 178
0: 234
1: 234
d: 229
0: 142
0: 142
0: 142
0: 142
0: 142
1: 142
d: 284
1: 178
d: 284
d: 284
1: 202
1: 202
d: 238
1: 264
1: 267
d: 229
d: 229
1: 285
d: 224
1: 258
d: 224
1: 247
1: 178
d: 218
1: 202
d: 218
0: 219
1: 219
d: 218
1: 219
d: 218
d: 218
1: 219
d: 218
1: 202
d: 218
0: 196
1: 196
1: 285
d: 211
g: 12800
1: 202
0: 178
1: 178
t: 73835
---
q5: 5/6
---
d: 202
d: 202
1: 666
d: 202
0: 196
0: 196
0: 196
0: 196
0: 196
0: 196
0: 196
0: 196
0: 196
0: 196
0: 196
d: 284
1: 196
1: 232
d: 238
d: 238
1: 202
d: 229
d: 229
1: 285
d: 229
1: 202
d: 224
0: 247
1: 247
d: 224
1: 219
d: 224
1: 219
d: 224
1: 219
1: 267
d: 224
1: 232
d: 224
0: 214
1: 214
d: 224
0: 219
1: 219
d: 224
1: 232
1: 247
d: 218
d: 218
1: 202
d: 218
1: 285
d: 211
1: 196
d: 202
1: 219
d: 202
1: 232
d: 184
1: 219
d: 184
g: 12800
1: 219
1: 219
1: 127
t: 52535
---
q6: 3/6
---
# EOF
