--- 
# IPCG 3YP data file 
# taes1g09@ecs.soton.ac.uk 
--- 
q1: 4/4 
q2: 4/4 
--- 
---
d: 444
d: 444
d: 444
d: 444
1: 666
0: 463
1: 463
d: 444
d: 444
1: 422
d: 444
1: 449
1: 449
d: 444
1: 463
1: 404
d: 444
d: 444
1: 463
d: 444
1: 428
d: 444
1: 463
d: 444
d: 444
1: 422
1: 449
d: 444
1: 458
1: 476
d: 444
d: 444
1: 404
d: 444
1: 428
d: 444
1: 428
1: 428
d: 444
1: 449
d: 444
d: 444
1: 463
1: 463
d: 444
d: 444
g: 12608
1: 428
1: 463
1: 458
t: 32325
--- 
q3: 0/6 
---
d: 222
d: 222
1: 666
d: 222
0: 196
d: 222
1: 196
1: 202
d: 222
0: 214
1: 214
d: 222
0: 219
d: 222
d: 222
1: 219
d: 222
1: 202
d: 222
1: 232
d: 222
1: 267
d: 222
1: 214
0: 196
1: 196
d: 222
1: 219
d: 222
1: 219
d: 222
1: 169
d: 222
1: 214
1: 219
d: 222
d: 222
1: 219
d: 222
1: 232
d: 222
1: 219
d: 222
1: 219
d: 222
1: 196
d: 222
d: 222
1: 258
1: 219
d: 222
g: 12928
0: 267
1: 267
1: 196
0: 202
1: 202
t: 42496
--- 
q4: 1/6 
---
d: 111
d: 111
d: 111
1: 666
d: 111
0: 74
0: 74
1: 74
d: 111
1: 169
d: 111
1: 116
d: 111
1: 95
d: 111
d: 111
0: 77
1: 77
1: 116
1: 178
d: 111
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
1: 71
d: 129
0: 136
d: 133
1: 136
d: 129
1: 136
d: 116
0: 142
0: 142
0: 142
0: 142
1: 142
0: 136
d: 202
1: 136
d: 133
1: 157
d: 133
1: 77
d: 129
d: 129
1: 196
d: 116
1: 169
d: 116
1: 89
d: 111
0: 142
0: 142
1: 142
1: 202
d: 111
1: 178
d: 111
1: 157
1: 77
d: 111
g: 12480
1: 95
1: 68
t: 64025
--- 
q5: 4/6 
---
d: 101
d: 101
d: 101
1: 666
1: 95
d: 101
1: 89
d: 98
1: 169
d: 98
d: 98
1: 136
d: 98
1: 178
d: 98
d: 98
1: 116
d: 98
1: 41
d: 89
1: 68
0: 142
0: 142
0: 142
1: 142
0: 232
1: 232
d: 98
1: 11
d: 98
d: 98
1: 136
1: 77
d: 89
1: 157
d: 89
d: 89
0: 116
d: 89
1: 116
0: 71
0: 71
0: 71
1: 71
d: 98
0: 71
1: 71
1: 41
d: 98
0: 71
0: 71
1: 71
d: 98
d: 98
1: 95
d: 98
g: 12672
0: 5
0: 5
1: 5
1: 142
1: 157
t: 51912
--- 
q6: 2/6 
--- 
# EOF
